
-650, -462, 0
-650, -462, 0
-635, -462, 0
-620, -462, 0
-604, -462, 0
-589, -462, 0
-574, -462, 0
-558, -462, 0
-543, -462, 0
-527, -462, 0
-512, -462, 0
-497, -462, 0
-481, -462, 0
-466, -462, 0
-450, -462, 0
-435, -462, 0
-420, -462, 0
-404, -462, 0
-389, -462, 0
-373, -462, 0
-358, -462, 0
-343, -462, 0
-327, -462, 0
-312, -462, 0
-296, -462, 0
-281, -462, 0
-266, -462, 0
-250, -462, 0
-235, -462, 0
-219, -462, 0
-204, -462, 0
-189, -462, 0
-173, -462, 0
-158, -462, 0
-142, -462, 1
-127, -462, 1
-112, -462, 1
 -96, -462, 1
 -81, -462, 1
 -65, -462, 1
 -50, -462, 1
 -35, -462, 1
 -19, -462, 1
  -4, -462, 1
  12, -462, 1
  27, -462, 1
  42, -462, 1
  50, -462, 1
-650, -310, 1
-650, -310, 1
-640, -310, 1
-630, -310, 1
-619, -310, 1
-609, -310, 1
-599, -310, 1
-588, -310, 1
-578, -310, 1
-568, -310, 1
-557, -310, 0
-547, -310, 0
-537, -310, 0
-526, -310, 0
-516, -310, 0
-506, -310, 0
-495, -310, 0
-485, -310, 0
-475, -310, 0
-464, -310, 0
-454, -310, 0
-444, -310, 0
-433, -310, 0
-423, -310, 0
-413, -310, 0
-402, -310, 0
-392, -310, 0
-382, -310, 0
-371, -310, 0
-361, -310, 0
-351, -310, 0
-340, -310, 0
-330, -310, 0
-320, -310, 0
-309, -310, 0
-299, -310, 0
-289, -310, 0
-278, -310, 0
-268, -310, 0
-258, -310, 0
-247, -310, 0
-237, -310, 0
-227, -310, 0
-216, -310, 0
-206, -310, 0
-196, -310, 0
-185, -310, 0
-175, -310, 0
-165, -310, 0
-154, -310, 0
-144, -310, 1
-134, -310, 1
-123, -310, 1
-113, -310, 1
-103, -310, 1
 -92, -310, 1
 -82, -310, 1
 -72, -310, 1
 -61, -310, 1
 -51, -310, 1
 -41, -310, 1
 -30, -310, 1
 -20, -310, 1
 -10, -310, 1
   1, -310, 1
  11, -310, 1
  21, -310, 1
  32, -310, 1
  42, -310, 1
  50, -310, 1
-650, -771, 1
-650, -771, 1
-625, -771, 1
-599, -771, 1
-573, -771, 1
-548, -771, 1
-522, -771, 0
-496, -771, 0
-471, -771, 0
-445, -771, 0
-419, -771, 0
-393, -771, 0
-368, -771, 0
-342, -771, 0
-316, -771, 0
-291, -771, 0
-265, -771, 0
-239, -771, 0
-214, -771, 0
-188, -771, 0
-162, -771, 1
-136, -771, 1
-111, -771, 1
 -85, -771, 1
 -59, -771, 1
 -34, -771, 1
  -8, -771, 1
  18, -771, 1
  43, -771, 1
