224, -650, -462 0
224, -635, -462 0
224, -620, -462 0
224, -604, -462 0
224, -589, -462 0
224, -574, -462 0
224, -558, -462 0
224, -543, -462 0
224, -527, -462 0
224, -512, -462 0
224, -497, -462 0
224, -481, -462 0
224, -466, -462 0
224, -450, -462 0
224, -435, -462 0
224, -420, -462 0
224, -404, -462 0
224, -389, -462 0
224, -373, -462 0
224, -358, -462 0
224, -343, -462 0
224, -327, -462 0
224, -312, -462 0
224, -296, -462 0
224, -281, -462 0
224, -266, -462 0
224, -250, -462 0
224, -235, -462 0
224, -219, -462 0
224, -204, -462 0
224, -189, -462 0
224, -173, -462 0
224, -158, -462 0
224, -142, -462 1
224, -127, -462 1
224, -112, -462 1
224,  -96, -462 1
224,  -81, -462 1
224,  -65, -462 1
224,  -50, -462 1
224,  -35, -462 1
224,  -19, -462 1
224,   -4, -462 1
224,   12, -462 1
224,   27, -462 1
224,   42, -462 1
224,   50, -462 1
224, -650, -310 1
224, -650, -310 1
224, -640, -310 1
224, -630, -310 1
224, -619, -310 1
224, -609, -310 1
224, -599, -310 1
224, -588, -310 1
224, -578, -310 1
224, -568, -310 1
224, -557, -310 0
224, -547, -310 0
224, -537, -310 0
224, -526, -310 0
224, -516, -310 0
224, -506, -310 0
224, -495, -310 0
224, -485, -310 0
224, -475, -310 0
224, -464, -310 0
224, -454, -310 0
224, -444, -310 0
224, -433, -310 0
224, -423, -310 0
224, -413, -310 0
224, -402, -310 0
224, -392, -310 0
224, -382, -310 0
224, -371, -310 0
224, -361, -310 0
224, -351, -310 0
224, -340, -310 0
224, -330, -310 0
224, -320, -310 0
224, -309, -310 0
224, -299, -310 0
224, -289, -310 0
224, -278, -310 0
224, -268, -310 0
224, -258, -310 0
224, -247, -310 0
224, -237, -310 0
224, -227, -310 0
224, -216, -310 0
224, -206, -310 0
224, -196, -310 0
224, -185, -310 0
224, -175, -310 0
224, -165, -310 0
224, -154, -310 0
224, -144, -310 1
224, -134, -310 1
224, -123, -310 1
224, -113, -310 1
224, -103, -310 1
224,  -92, -310 1
224,  -82, -310 1
224,  -72, -310 1
224,  -61, -310 1
224,  -51, -310 1
224,  -41, -310 1
224,  -30, -310 1
224,  -20, -310 1
224,  -10, -310 1
224,    1, -310 1
224,   11, -310 1
224,   21, -310 1
224,   32, -310 1
224,   42, -310 1
224,   50, -310 1
224, -650, -771 1
224, -650, -771 1
224, -625, -771 1
224, -599, -771 1
224, -573, -771 1
